datetime;validation;test;activation;batch_size;factor_flag;learning_rate;method;mode;momentum;n_units_l1;n_units_l2;n_units_l3;nesterov;num_hidden_layers;optim;scaler
2023-12-19 22:19:50.459466;0,5331555008888245;;selu;64;False;0,23655057777752014;;vanilla;0,025360922344137535;23;11,0;;True;2;sgd;maxabs
2023-12-19 22:20:46.757090;0,5337271094322205;;selu;64;False;0,27930088697730954;;vanilla;0,01100351669093168;21;13,0;;True;2;sgd;maxabs
2023-12-19 22:21:43.437518;0,5310594439506531;;selu;64;False;0,29322696373278784;;vanilla;0,021387348628746507;21;13,0;;True;2;sgd;maxabs
2023-12-19 22:22:41.621251;0,5302972793579102;;selu;64;False;0,20411290798679138;;vanilla;0,013275027537907845;22;17,0;;True;2;sgd;maxabs
2023-12-19 22:23:38.406574;0,5289633870124817;;selu;64;False;0,1242981413747146;;vanilla;0,010567115029938763;20;12,0;;True;2;sgd;maxabs
2023-12-19 22:24:34.300571;0,5177210569381714;;selu;64;False;0,16396437683282752;pca;vanilla;0,014380678853370823;23;13,0;;True;2;sgd;maxabs
2023-12-19 22:25:32.529117;0,5263671875;;selu;256;False;0,2844185872803922;;vanilla;0,016936274990841053;25;17,0;;True;2;sgd;maxabs
2023-12-19 22:25:56.992453;0,527629554271698;;selu;64;False;0,3709130538861242;;batchnorm;0,011662948765068293;24;16,0;;True;2;sgd;maxabs
2023-12-19 22:26:56.368960;0,5327743887901306;;selu;32;False;0,22453763620738246;;vanilla;0,024417360533025463;22;18,0;;True;2;sgd;maxabs
2023-12-19 22:28:38.618288;0,2883003056049347;;selu;64;False;0,38908127221258587;;vanilla;;19;12,0;;;2;adam;maxabs
2023-12-19 22:29:36.083161;0,5329649448394775;;selu;64;False;0,28432050840777323;;vanilla;0,032558943177851955;20;14,0;17,0;True;3;sgd;maxabs
2023-12-19 22:30:34.741773;0,5342987775802612;;selu;64;False;0,26858575053828937;;vanilla;0,028246246501036812;21;11,0;;True;2;sgd;maxabs
2023-12-19 22:31:32.948265;0,5316311120986938;;selu;64;False;0,1939047204886204;;vanilla;0,02740204270490777;21;10,0;;True;2;sgd;maxabs
2023-12-19 22:32:29.312160;0,5322027206420898;;selu;64;False;0,3296659417542275;;vanilla;0,019722710358986133;22;10,0;;True;2;sgd;maxabs
2023-12-19 22:33:25.663500;0,5344893336296082;;selu;64;False;0,2737832387261495;;vanilla;0,022421818123056197;23;12,0;;True;2;sgd;maxabs
2023-12-19 22:34:23.542340;0,5339176654815674;;selu;64;False;0,23595187915652197;;vanilla;0,023236324411522336;23;11,0;;True;2;sgd;maxabs
2023-12-19 22:35:20.128258;0,5255335569381714;;leaky_relu;64;True;0,17178750454466216;;vanilla;0,023718875921115927;23;;;True;1;sgd;maxabs
2023-12-19 22:36:15.495655;0,5289633870124817;;selu;64;False;0,22017100825376573;anova;vanilla;0,03195608107606112;23;11,0;;True;2;sgd;normalizer
2023-12-19 22:37:21.325746;0,5240091681480408;;selu;64;False;0,14264926062053332;;dropout;0,026494857200668628;22;9,0;;True;2;sgd;maxabs
2023-12-19 22:38:19.316180;0,5304877758026123;;selu;64;False;0,4302588431382599;;vanilla;0,03660238555307729;25;11,0;;True;2;sgd;maxabs
2023-12-19 22:39:15.672454;0,5337271094322205;;selu;64;False;0,24808573024756303;;vanilla;0,02179882951788282;24;18,0;;True;2;sgd;maxabs
2023-12-19 22:40:14.267278;0,5344893336296082;;selu;64;False;0,23621584608649968;;vanilla;0,017289852198512343;24;20,0;;True;2;sgd;maxabs
2023-12-19 22:41:11.194634;0,5339176654815674;;selu;64;False;0,32738876558948343;;vanilla;0,022921837062097244;23;9,0;;True;2;sgd;maxabs
2023-12-19 22:42:06.712792;0,5325838327407837;;selu;64;False;0,20830455769484998;;vanilla;0,015580993834404179;23;10,0;;True;2;sgd;maxabs
2023-12-19 22:43:04.597893;0,5316311120986938;;selu;64;False;0,3477605011255802;;vanilla;0,02207007298918927;22;9,0;;True;2;sgd;maxabs
2023-12-19 22:44:02.158400;0,5337271094322205;;selu;64;False;0,2846595617427455;;vanilla;0,032504414280046676;16;12,0;;True;2;sgd;maxabs
