datetime;validation;test;activation;b1;b2;batch_size;dims;dropout;factor_flag;learning_rate;method;mode;n_units_l1;num_hidden_layers;optim;scaler
2023-12-20 01:38:48.992532;0,4560546875;;leaky_relu;0,5158019375389693;0,733316838500989;256;35,0;;False;0,02364118767509964;anova;batchnorm;20;2;adam;normalizer
2023-12-20 01:39:25.451481;0,4345962405204773;;leaky_relu;0,4336124546723134;0,8000599451060245;64;22,0;0,3063711751429111;False;0,015884156688964732;pca;dropout;16;1;adam;minmax
2023-12-20 01:40:44.828333;0,3250558078289032;;selu;;;256;28,0;0,23559056000452952;True;0,011736366122711145;anova;dropout;14;1;sgd;normalizer
2023-12-20 01:41:13.415823;0,33388522267341614;;relu;0,470684015716193;0,6652910799125858;16;33,0;;False;0,02008145378413346;anova;vanilla;15;1;adam;normalizer
2023-12-20 01:45:56.779367;0,4684709906578064;;leaky_relu;0,40179453050292224;0,5869595359925801;256;35,0;0,27941371876002863;False;0,03340723419582556;anova;dropout;17;1;adam;maxabs
2023-12-20 01:46:29.554858;0,4767020046710968;;leaky_relu;0,3610109609031334;0,7403032217151069;256;24,0;0,2667176100454326;False;0,012688519944644679;anova;dropout;15;1;adam;normalizer
2023-12-20 01:47:05.409451;0,470703125;;leaky_relu;0,33119223098350714;0,6986257998464763;256;18,0;0,25293128667804643;False;0,013388727683824916;anova;dropout;16;1;adam;normalizer
2023-12-20 01:48:03.601533;0,4739118218421936;;leaky_relu;0,39098026871559327;0,7397761306137651;256;23,0;0,26440716716285795;False;0,009858590946355848;anova;dropout;19;1;adam;normalizer
2023-12-20 01:49:02.863484;0,4642857015132904;;leaky_relu;0,3546331979310293;0,6369199537739886;256;25,0;0,29673057183826634;False;0,0175282071716054;anova;dropout;13;4;adam;normalizer
2023-12-20 01:49:53.178689;0,4712611734867096;;leaky_relu;0,5438935400851398;0,7614399691293765;256;27,0;0,21745480253246438;False;0,008117779680620435;anova;dropout;18;1;adam;minmax
2023-12-20 01:50:41.059419;0,47110065817832947;;leaky_relu;0,43427224211665305;0,7164801477202247;32;31,0;0,2750901596106054;False;0,026859185787795725;anova;dropout;15;1;adam;normalizer
2023-12-20 01:53:16.105842;0,4496372640132904;;relu;0,4913936011247079;0,7869424112120728;256;;0,19293385153999631;False;0,015225684138465815;;dropout;17;1;adam;normalizer
2023-12-20 01:53:47.535140;0,4741908609867096;;leaky_relu;0,45944215002288946;0,6795210789831081;128;30,0;0,25182626251152274;False;0,019775877761271085;anova;dropout;13;1;adam;minmax
2023-12-20 01:54:32.732348;0,4626116156578064;;selu;0,365713692968161;0,6533852677245228;256;37,0;0,21126726250592331;False;0,01119084136716855;anova;dropout;14;2;adam;normalizer
