matchId;rounds;top1_H;top2_H;top3_H;top4_H;top5_H;top6_H;top7_H;down1_H;down2_H;down3_H;down4_H;down5_H;top1_A;top2_A;top3_A;top4_A;top5_A;top6_A;top7_A;down1_A;down2_A;down3_A;down4_A;down5_A
9473;17,0;13,0;11,0;10,0;9,0;7,0;7,0;5,0;-9,0;-8,0;-8,0;-7,0;-5,0;18,0;16,0;15,0;14,0;12,0;12,0;10,0;-4,0;-3,0;-3,0;-2,0;0,0
9474;17,0;3,0;1,0;0,0;-1,0;-3,0;-3,0;-5,0;-19,0;-18,0;-18,0;-17,0;-15,0;0,0;-2,0;-3,0;-4,0;-6,0;-6,0;-8,0;-22,0;-21,0;-21,0;-20,0;-18,0
9475;17,0;10,0;8,0;7,0;6,0;4,0;4,0;2,0;-12,0;-11,0;-11,0;-10,0;-8,0;22,0;20,0;19,0;18,0;16,0;16,0;14,0;0,0;1,0;1,0;2,0;4,0
9476;17,0;9,0;7,0;6,0;5,0;3,0;3,0;1,0;-13,0;-12,0;-12,0;-11,0;-9,0;15,0;13,0;12,0;11,0;9,0;9,0;7,0;-7,0;-6,0;-6,0;-5,0;-3,0
9477;17,0;8,0;6,0;5,0;4,0;2,0;2,0;0,0;-14,0;-13,0;-13,0;-12,0;-10,0;20,0;18,0;17,0;16,0;14,0;14,0;12,0;-2,0;-1,0;-1,0;0,0;2,0
9478;17,0;21,0;19,0;18,0;17,0;15,0;15,0;13,0;-1,0;0,0;0,0;1,0;3,0;12,0;10,0;9,0;8,0;6,0;6,0;4,0;-10,0;-9,0;-9,0;-8,0;-6,0
9479;18,0;14,0;13,0;12,0;10,0;10,0;9,0;6,0;-9,0;-7,0;-7,0;-5,0;-2,0;21,0;20,0;19,0;17,0;17,0;16,0;13,0;-2,0;0,0;0,0;2,0;5,0
9480;18,0;12,0;11,0;10,0;8,0;8,0;7,0;4,0;-11,0;-9,0;-9,0;-7,0;-4,0;12,0;11,0;10,0;8,0;8,0;7,0;4,0;-11,0;-9,0;-9,0;-7,0;-4,0
9481;18,0;4,0;3,0;2,0;0,0;0,0;-1,0;-4,0;-19,0;-17,0;-17,0;-15,0;-12,0;12,0;11,0;10,0;8,0;8,0;7,0;4,0;-11,0;-9,0;-9,0;-7,0;-4,0
9482;18,0;1,0;0,0;-1,0;-3,0;-3,0;-4,0;-7,0;-22,0;-20,0;-20,0;-18,0;-15,0;23,0;22,0;21,0;19,0;19,0;18,0;15,0;0,0;2,0;2,0;4,0;7,0
9483;18,0;10,0;9,0;8,0;6,0;6,0;5,0;2,0;-13,0;-11,0;-11,0;-9,0;-6,0;2,0;1,0;0,0;-2,0;-2,0;-3,0;-6,0;-21,0;-19,0;-19,0;-17,0;-14,0
9484;17,5;9,0;8,0;7,0;5,0;5,0;4,0;1,0;-14,0;-12,0;-12,0;-10,0;-7,0;6,0;4,0;3,0;2,0;0,0;0,0;-2,0;-16,0;-15,0;-15,0;-14,0;-12,0
9485;18,0;14,0;13,0;12,0;10,0;10,0;9,0;6,0;-9,0;-7,0;-7,0;-5,0;-2,0;13,0;12,0;11,0;9,0;9,0;8,0;5,0;-10,0;-8,0;-8,0;-6,0;-3,0
9486;18,0;19,0;18,0;17,0;15,0;15,0;14,0;11,0;-4,0;-2,0;-2,0;0,0;3,0;5,0;4,0;3,0;1,0;1,0;0,0;-3,0;-18,0;-16,0;-16,0;-14,0;-11,0
9487;18,0;8,0;7,0;6,0;4,0;4,0;3,0;0,0;-15,0;-13,0;-13,0;-11,0;-8,0;0,0;-1,0;-2,0;-4,0;-4,0;-5,0;-8,0;-23,0;-21,0;-21,0;-19,0;-16,0
9488;17,5;21,0;19,0;18,0;17,0;15,0;15,0;13,0;-1,0;0,0;0,0;1,0;3,0;16,0;15,0;14,0;12,0;12,0;11,0;8,0;-7,0;-5,0;-5,0;-3,0;0,0
9489;19,0;0,0;-2,0;-4,0;-6,0;-7,0;-7,0;-8,0;-25,0;-23,0;-21,0;-21,0;-18,0;13,0;11,0;9,0;7,0;6,0;6,0;5,0;-12,0;-10,0;-8,0;-8,0;-5,0
9490;19,0;15,0;13,0;11,0;9,0;8,0;8,0;7,0;-10,0;-8,0;-6,0;-6,0;-3,0;14,0;12,0;10,0;8,0;7,0;7,0;6,0;-11,0;-9,0;-7,0;-7,0;-4,0
9491;19,0;2,0;0,0;-2,0;-4,0;-5,0;-5,0;-6,0;-23,0;-21,0;-19,0;-19,0;-16,0;17,0;15,0;13,0;11,0;10,0;10,0;9,0;-8,0;-6,0;-4,0;-4,0;-1,0
9492;19,0;18,0;16,0;14,0;12,0;11,0;11,0;10,0;-7,0;-5,0;-3,0;-3,0;0,0;11,0;9,0;7,0;5,0;4,0;4,0;3,0;-14,0;-12,0;-10,0;-10,0;-7,0
9493;18,5;4,0;3,0;2,0;0,0;0,0;-1,0;-4,0;-19,0;-17,0;-17,0;-15,0;-12,0;17,0;15,0;13,0;11,0;10,0;10,0;9,0;-8,0;-6,0;-4,0;-4,0;-1,0
9494;19,0;23,0;21,0;19,0;17,0;16,0;16,0;15,0;-2,0;0,0;2,0;2,0;5,0;21,0;19,0;17,0;15,0;14,0;14,0;13,0;-4,0;-2,0;0,0;0,0;3,0
9495;18,5;25,0;23,0;21,0;19,0;18,0;18,0;17,0;0,0;2,0;4,0;4,0;7,0;21,0;20,0;19,0;17,0;17,0;16,0;13,0;-2,0;0,0;0,0;2,0;5,0
9496;19,0;12,0;10,0;8,0;6,0;5,0;5,0;4,0;-13,0;-11,0;-9,0;-9,0;-6,0;4,0;2,0;0,0;-2,0;-3,0;-3,0;-4,0;-21,0;-19,0;-17,0;-17,0;-14,0
9497;19,0;7,0;5,0;3,0;1,0;0,0;0,0;-1,0;-18,0;-16,0;-14,0;-14,0;-11,0;6,0;4,0;2,0;0,0;-1,0;-1,0;-2,0;-19,0;-17,0;-15,0;-15,0;-12,0
9498;19,0;15,0;13,0;11,0;9,0;8,0;8,0;7,0;-10,0;-8,0;-6,0;-6,0;-3,0;8,0;6,0;4,0;2,0;1,0;1,0;0,0;-17,0;-15,0;-13,0;-13,0;-10,0
9499;20,0;17,0;13,0;10,0;10,0;9,0;8,0;7,0;-10,0;-9,0;-7,0;-6,0;-3,0;8,0;4,0;1,0;1,0;0,0;-1,0;-2,0;-19,0;-18,0;-16,0;-15,0;-12,0
